id	uuid	coa_cd	coa_name	term	accrule_base	curve_name	curve_id	business_line	float_ratio	replace_type	reprice_freq
1	40a8028b-36e5-4630-a91c-7f87277324c1	1_1_1	现金_1D	1D	Actual/360	零收益率曲线	1	计财部	\N	固定利率	
2	1322122f-71a2-491d-9c11-394d9a0ce59e	1_1_2	存放央行法定准备金_30Y	30Y	Actual/360	法定存款准备金收益率	2	计财部	\N	固定利率	
3	d504a10f-7e7b-4dd9-9519-3f2b2b7479a6	1_1_3	存放央行超额准备金_1D	1D	Actual/360	超额存款准备金收益率	3	计财部	\N	固定利率	
4	2bab70ce-553e-4cf8-adf5-6cf15311d000	1_1_4	存放央行其他款项_30Y	30Y	Actual/360	零收益率曲线	1	计财部	\N	固定利率	
5	058d47a1-0f55-4ffa-9b27-1c33a7faaec0	1_2_1_1_1	存放同业活期款项_金融市场部_1D	1D	Actual/360	shibor_1D	4		\N	固定利率	
6	2af725e9-1e2f-4b3b-84cc-f48b063200f4	1_2_1_1_2	存放同业定期款项_金融市场部_1M	1M	Actual/360	同业存单AAA到期收益率_1M	14		\N	固定利率	
7	0a525a51-8f81-4561-8c28-1a74131885c6	1_2_1_1_3	存放同业定期款项_金融市场部_3M	3M	Actual/360	同业存单AAA到期收益率_3M	15		\N	固定利率	
8	638a31b8-c731-44e2-a99a-df6533803cbf	1_2_1_1_4	存放同业定期款项_金融市场部_6M	6M	Actual/360	同业存单AAA到期收益率_6M	16		\N	固定利率	
9	a1f0aefd-bf6f-46f9-9e04-9fcee217a969	1_2_1_1_5	存放同业定期款项_金融市场部_1Y	1Y	Actual/360	同业存单AAA到期收益率_1Y	18		\N	固定利率	
10	bb28b9e2-6992-4a45-b105-0f05332dff9c	1_2_1_2_1	存放同业活期款项_公司金融部_1D	1D	Actual/360	shibor_1D	4		\N	固定利率	
11	6e1147f7-adf6-4827-8fed-cdab360d2305	1_2_1_2_2	存放同业定期款项_公司金融部_1M	1M	Actual/360	同业存单AAA到期收益率_1M	14		\N	固定利率	
12	dbf3c86c-e6ff-417d-bdc4-a2268efcaea0	1_2_1_2_3	存放同业定期款项_公司金融部_3M	3M	Actual/360	同业存单AAA到期收益率_3M	15		\N	固定利率	
13	a6925e38-8576-49b6-8b7a-15575f2d2b9f	1_2_1_2_4	存放同业定期款项_公司金融部_6M	6M	Actual/360	同业存单AAA到期收益率_6M	16		\N	固定利率	
14	d68d4945-697b-40c5-8592-dd59e6130a42	1_2_1_2_5	存放同业定期款项_公司金融部_1Y	1Y	Actual/360	同业存单AAA到期收益率_1Y	18		\N	固定利率	
15	5f033191-b98e-44e7-ae7a-a9be8a3a998d	1_2_2_1	拆放同业款项_1D	1D	Actual/360	同业存单AAA到期收益率_1D	19		\N	固定利率	
16	8c06c2af-9111-4773-b641-a704645ebc5a	1_2_2_2	拆放同业款项_1M	1M	Actual/360	同业存单AAA到期收益率_1M	14		\N	固定利率	
17	d030ccf7-777e-47d5-9ad9-c086aa689b8b	1_2_2_3	拆放同业款项_3M	3M	Actual/360	同业存单AAA到期收益率_3M	15		\N	固定利率	
18	f7eb44a5-4a35-4648-bb38-f993f6edc0ac	1_2_2_4	拆放同业款项_6M	6M	Actual/360	同业存单AAA到期收益率_6M	16		\N	固定利率	
19	c329da11-e9be-41cb-833b-5025d1609f8f	1_2_2_5	拆放同业款项_1Y	1Y	Actual/360	同业存单AAA到期收益率_1Y	18		\N	固定利率	
20	45205769-dd76-4529-b79a-a00a26e4a95d	1_2_3_1_1	买入返售债券_买断式_1D	1D	Actual/360	shibor_1D	4		\N	固定利率	
21	770fcda9-a2cc-4a99-9365-6f2f2f6e5986	1_2_3_1_2	买入返售债券_买断式_7D	7D	Actual/360	shibor_7D	5		\N	固定利率	
22	ee1ac699-f2fb-45af-8d19-01d0c91d0b5c	1_2_3_1_3	买入返售债券_质押式_1D	1D	Actual/360	shibor_1D	4		\N	固定利率	
23	159568f5-a1ac-4f25-9a3f-ba33be3f43d0	1_2_3_1_4	买入返售债券_质押式_7D	7D	Actual/360	shibor_7D	5		\N	固定利率	
24	380b9cb3-49ea-4ccf-a74b-be05b048c6e0	1_2_3_2_1	买入返售票据_买断式_1D	1D	Actual/360	shibor_1D	4		\N	固定利率	
25	df29eb6b-476e-4c58-b6b7-d5bf5b7edd6b	1_2_3_2_2	买入返售票据_买断式_7D	7D	Actual/360	shibor_7D	5		\N	固定利率	
26	eae83d34-562c-4019-8b0b-f6b0a41b1340	1_2_3_2_3	买入返售票据_质押式_1D	1D	Actual/360	shibor_1D	4		\N	固定利率	
27	382d4ae0-12d2-4666-8a7c-cd19988f6279	1_2_3_2_4	买入返售票据_质押式_7D	7D	Actual/360	shibor_7D	5		\N	固定利率	
28	331c8708-ee26-4d6b-9f36-cc23f7077aa4	1_3_1_1_1_1_1	金融市场部_交易性国债投资_司库_1Y	1Y	Actual/360	国债到期收益率_1Y	20	金融市场部	\N	固定利率	
29	869b463f-6e83-41a3-9a35-630b6a8f5906	1_3_1_1_1_1_2	金融市场部_交易性国债投资_司库_3Y	3Y	Actual/360	国债到期收益率_3Y	21	金融市场部	\N	固定利率	
30	c97d3a27-ac13-4bac-a29c-4927d3f8c39a	1_3_1_1_1_1_3	金融市场部_交易性国债投资_司库_5Y	5Y	Actual/360	国债到期收益率_5Y	22	金融市场部	\N	固定利率	
31	e42bddee-bac8-4781-add2-35a799e9a04b	1_3_1_1_1_1_4	金融市场部_交易性国债投资_司库_10Y	10Y	Actual/360	国债到期收益率_10Y	23	金融市场部	\N	固定利率	
32	20ed97da-dec8-4fb6-81f5-33ea8f2dfe40	1_3_1_1_1_2_1_1	金融市场部_交易性国债投资_非司库_交易账户_1Y	1Y	Actual/360	国债到期收益率_1Y	20	金融市场部	\N	固定利率	
33	e226be39-eeb9-4ce2-9966-4052850c373d	1_3_1_1_1_2_1_2	金融市场部_交易性国债投资_非司库_交易账户_3Y	3Y	Actual/360	国债到期收益率_3Y	21	金融市场部	\N	固定利率	
34	1bb086d2-2d65-42a8-abc5-9734ae5fc9aa	1_3_1_1_1_2_1_3	金融市场部_交易性国债投资_非司库_交易账户_5Y	5Y	Actual/360	国债到期收益率_5Y	22	金融市场部	\N	固定利率	
35	80f430c1-3f1d-4670-b447-7438b9f38baa	1_3_1_1_1_2_1_4	金融市场部_交易性国债投资_非司库_交易账户_10Y	10Y	Actual/360	国债到期收益率_10Y	23	金融市场部	\N	固定利率	
36	77298a99-4cae-4ddf-bb83-265d77bc7847	1_3_1_1_1_2_2_1	金融市场部_交易性国债投资_非司库_银行账户_1Y	1Y	Actual/360	国债到期收益率_1Y	20	金融市场部	\N	固定利率	
37	c5cee62d-0e70-4fda-9967-fe06812c8849	1_3_1_1_1_2_2_2	金融市场部_交易性国债投资_非司库_银行账户_3Y	3Y	Actual/360	国债到期收益率_3Y	21	金融市场部	\N	固定利率	
38	c1e32e7e-fca5-4276-bdc3-4fb3b13ef7d5	1_3_1_1_1_2_2_3	金融市场部_交易性国债投资_非司库_银行账户_5Y	5Y	Actual/360	国债到期收益率_5Y	22	金融市场部	\N	固定利率	
39	2bf79516-af04-43bd-9869-4ae671fbc6e7	1_3_1_1_1_2_2_4	金融市场部_交易性国债投资_非司库_银行账户_10Y	10Y	Actual/360	国债到期收益率_10Y	23	金融市场部	\N	固定利率	
40	420af75f-0e76-4ebf-b327-91cb7e3b3993	1_3_1_1_2_1_1	金融市场部_交易性央票投资_司库_1Y	1Y	Actual/360	国债到期收益率_1Y	20	金融市场部	\N	固定利率	
41	1cad0e46-59ab-4d78-818f-d9df857aef0d	1_3_1_1_2_1_2	金融市场部_交易性央票投资_司库_3Y	3Y	Actual/360	国债到期收益率_3Y	21	金融市场部	\N	固定利率	
42	f7f1fecd-c220-4812-98f2-215c10df4363	1_3_1_1_2_1_3	金融市场部_交易性央票投资_司库_5Y	5Y	Actual/360	国债到期收益率_5Y	22	金融市场部	\N	固定利率	
43	dc1e3f6e-f0de-4e9a-a3dc-85c166c07b90	1_3_1_1_2_1_4	金融市场部_交易性央票投资_司库_10Y	10Y	Actual/360	国债到期收益率_10Y	23	金融市场部	\N	固定利率	
44	6148206a-bb2c-497a-9d29-ed8cd0084607	1_3_1_1_2_2_1_1	金融市场部_交易性央票投资_非司库_交易账户_1Y	1Y	Actual/360	国债到期收益率_1Y	20	金融市场部	\N	固定利率	
45	10830178-cd59-46f8-9652-7686b5e2ee1a	1_3_1_1_2_2_1_2	金融市场部_交易性央票投资_非司库_交易账户_3Y	3Y	Actual/360	国债到期收益率_3Y	21	金融市场部	\N	固定利率	
46	d9c49c3a-deef-4f41-8001-18d22ba7e921	1_3_1_1_2_2_1_3	金融市场部_交易性央票投资_非司库_交易账户_5Y	5Y	Actual/360	国债到期收益率_5Y	22	金融市场部	\N	固定利率	
47	2dbdcdce-2e61-4f28-a7e1-1c11c5e074ef	1_3_1_1_2_2_1_4	金融市场部_交易性央票投资_非司库_交易账户_10Y	10Y	Actual/360	国债到期收益率_10Y	23	金融市场部	\N	固定利率	
