id	uuid	coa_lvl	coa_name	balance	average_balance	rate
1214	1085cff8-e30e-43ec-97fd-44c5fdecd49b	1_1	现金及存放央行	17950159801.66	10915535758.27	14643383.272501
1215	8a0383cd-ecba-4fd3-97b0-35cda112bcb0	1_1_1	现金_1D	352301313.22	315817522.05	\N
1216	d2576c89-8072-4b3d-bd96-aae333941083	1_1_2	存放央行法定准备金_30Y	12993396464.18	9867795678.47	-29043911.006594
1217	fb8f3525-d442-4249-a514-4f0404fc439c	1_1_3	存放央行超额准备金_1D	4590822024.26	722989944.85	49601960.117388
1218	6648f8b7-2d0d-4ddb-bb6a-ca525c2bf2be	1_1_4	存放央行其他款项_30Y	13640000.0	8932612.9	\N
1219	a6ba3e02-ce6b-40c9-9199-679f9e2ca293	1_2	同业资产	25399096836.7	9741609449.5	44563467.372953
1220	4dd4834b-a318-4dff-830e-3d945602c061	1_2_1	存放同业款项	12267470836.7	7933941377.03	20915999.111719
1221	41c613f1-3a83-4954-9edf-3f8c25dc78f3	1_2_1_1	存放同业款项_金融市场部	\N	\N	\N
1222	e359df31-96be-4697-83aa-4e4d1ff4119d	1_2_1_1_1	存放同业活期款项_金融市场部_1D	\N	\N	\N
1223	a5cb2110-80cd-4c6b-84fa-5ec614c3cfd0	1_2_1_1_2	存放同业定期款项_金融市场部_1M	\N	\N	\N
1224	17bdbc68-ea4d-4beb-8467-cb39e168d24b	1_2_1_1_3	存放同业定期款项_金融市场部_3M	\N	\N	\N
1225	eb2d1b11-d8b2-44dc-95bb-24e89c3b6eb2	1_2_1_1_4	存放同业定期款项_金融市场部_6M	\N	\N	\N
1226	18af7f4c-d2fc-429e-addd-8c68f32c6cd6	1_2_1_1_5	存放同业定期款项_金融市场部_1Y	\N	\N	\N
1227	293862d9-3464-4b3e-b535-5fdcdb0307a2	1_2_1_2	存放同业款项_公司金融部	12267470836.7	7933941377.03	20915999.111719
1228	b5a4438c-54f2-48e7-bd6a-311952d19b33	1_2_1_2_1	存放同业活期款项_公司金融部_1D	8467470836.7	7933941377.03	9910125.335421
