id	coa_cd	coa_name	remark	created_at	updated_at	num1	num1_c	num1_t	den1	den1_c	den1_t	num2	num2_c	num2_t	den2	den2_c	den2_t	num3	num3_c	num3_t	den3	den3_c	den3_t	num4	num4_c	num4_t	den4	den4_c	den4_t	num5	num5_c	num5_t	den5	den5_c	den5_t	num6	num6_c	num6_t	den6	den6_c	den6_t	num7	num7_c	num7_t	den7	den7_c	den7_t	num8	num8_c	num8_t	den8	den8_c	den8_t	num9	num9_c	num9_t	den9	den9_c	den9_t	num10	num10_c	num10_t	den10	den10_c	den10_t	num11	num11_c	num11_t	den11	den11_c	den11_t	num12	num12_c	num12_t	den12	den12_c	den12_t	num13	num13_c	num13_t	den13	den13_c	den13_t	num14	num14_c	num14_t	den14	den14_c	den14_t	num15	num15_c	num15_t	den15	den15_c	den15_t	num16	num16_c	num16_t	den16	den16_c	den16_t	num17	num17_c	num17_t	den17	den17_c	den17_t	num18	num18_c	num18_t	den18	den18_c	den18_t	num19	num19_c	num19_t	den19	den19_c	den19_t	num20	num20_c	num20_t	den20	den20_c	den20_t	num21	num21_c	num21_t	den21	den21_c	den21_t	num22	num22_c	num22_t	den22	den22_c	den22_t	num23	num23_c	num23_t	den23	den23_c	den23_t
1	1_1_1	现金_1D		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	0.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM005	1.0	RWA	\N	\N	\N	NUM004	1.0	B	DEN001	1.0	B	NUM004	1.0	B	\N	\N	\N	NUM001	1.0	CF1	\N	\N	\N	\N	\N	\N	DEN010	1.0	CF1-6	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM099	1.0	B	\N	\N	\N	NUM004	1.0	CF3	DEN001	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
2	1_1_2	存放央行法定准备金_30Y		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM005	1.0	RWA	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN032	1.0	CF12+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM099	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
3	1_1_3	存放央行超额准备金_1D		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM005	1.0	RWA	\N	\N	\N	NUM009	1.0	B	DEN002	1.0	B	NUM013	1.0	B	\N	\N	\N	NUM002	1.0	CF1	\N	\N	\N	\N	\N	\N	DEN032	1.0	CF1-6	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM099	1.0	B	\N	\N	\N	NUM009	1.0	CF3	DEN002	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
4	1_1_4	存放央行其他款项_30Y		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM005	1.0	RWA	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM024	1.0	CF1	DEN031	-1.0	CF1	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN032	0.0	CF1-6	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM099	1.0	B	\N	\N	\N	\N	1.0	CF3	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
5	1_2_1_1_1	存放同业活期款项_金融市场部_1D		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM008	1.0	RWA	\N	\N	\N	NUM012	1.0	B	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN025	-1.0	CF1	\N	\N	\N	DEN047	1.0	CF1-6	\N	\N	\N	DEN047	1.0	CF7-12	\N	\N	\N	DEN046	1.0	CF12+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM092	1.0	B	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
6	1_2_1_1_2	存放同业定期款项_金融市场部_1M		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM008	1.0	RWA	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	CF3	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN025	-1.0	CF1	\N	\N	\N	DEN049	1.0	CF1-6	\N	\N	\N	DEN049	1.0	CF7-12	\N	\N	\N	DEN048	1.0	CF12+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM092	1.0	B	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
7	1_2_1_1_3	存放同业定期款项_金融市场部_3M		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM008	1.0	RWA	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	CF3	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN025	-1.0	CF1	\N	\N	\N	DEN049	1.0	CF1-6	\N	\N	\N	DEN049	1.0	CF7-12	\N	\N	\N	DEN048	1.0	CF12+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM092	1.0	B	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
8	1_2_1_1_4	存放同业定期款项_金融市场部_6M		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM008	1.0	RWA	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	CF3	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN025	-1.0	CF1	\N	\N	\N	DEN049	1.0	CF1-6	\N	\N	\N	DEN049	1.0	CF7-12	\N	\N	\N	DEN048	1.0	CF12+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM092	1.0	B	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
9	1_2_1_1_5	存放同业定期款项_金融市场部_1Y		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM008	1.0	RWA	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	CF3	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN025	-1.0	CF1	\N	\N	\N	DEN049	1.0	CF1-6	\N	\N	\N	DEN049	1.0	CF7-12	\N	\N	\N	DEN048	1.0	CF12+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM092	1.0	B	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
10	1_2_1_2_1	存放同业活期款项_公司金融部_1D		2026-08-14 15:44:09	2026-08-14 15:44:09	NUM100	1.0	NII	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM100	1.0	NII	DEN060	1.0	AB	NUM100	1.0	NII	DEN060	1.0	AB	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM008	1.0	RWA	\N	\N	\N	NUM012	1.0	B	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	DEN025	-1.0	CF1	\N	\N	\N	DEN047	1.0	CF1-6	\N	\N	\N	DEN047	1.0	CF7-12	\N	\N	\N	DEN046	1.0	CF12+	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	NUM092	1.0	B	\N	\N	\N	NUM012	1.0	CF3	DEN003	1.0	B	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
