id	uuid	coa_cd	coa_name	strategy_M1	strategy_M2	strategy_M3	strategy_M4	strategy_M5	strategy_M6	strategy_M7	strategy_M8	strategy_M9	strategy_M10	strategy_M11	strategy_M12	strategy_M13	strategy_M14	strategy_M15	strategy_M16	strategy_M17	strategy_M18	strategy_M19	strategy_M20	strategy_M21	strategy_M22	strategy_M23	strategy_M24	remark	created_at	updated_at
1	dd77d08954e344a4b3d431f954648788	1_1	现金及存放央行	0.014528	0.014528	0.014528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015789	源: custom | 	2026-08-16 13:27:47	2026-08-16 13:27:47
2	be884147c0374a46b79a4234276bbb68	1_1_1	现金_1D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
3	1d6e4b3e43484d08a3428903141864c4	1_1_2	存放央行法定准备金_30Y	2.2e-05	2.2e-05	2.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016425	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
4	60f26b3ea10e42a59d00e1d89de3b0b9	1_1_3	存放央行超额准备金_1D	0.136484	0.136484	0.136484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016425	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
5	17ff913796e44d14913dfdaba1490e5d	1_1_4	存放央行其他款项_30Y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
6	546675a22e8746ab8ffab3985030d32f	1_2	同业资产	0.018517	0.018517	0.018517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022151	源: custom | 	2026-08-16 13:27:47	2026-08-16 13:27:47
7	bf032d2f6f0a446b84019e7512265d98	1_2_1	存放同业款项	0.014505	0.014505	0.014505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022954	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
8	2fab17571ac5462990e3dffdb3595bca	1_2_1_1	存放同业款项_金融市场部	0.013068	0.013068	0.013068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
9	c6ca7ab2b1b0433986c44a2dbf37517a	1_2_1_1_1	存放同业活期款项_金融市场部_1D	0.013068	0.013068	0.013068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006756	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
10	6a0acaf861284401ac6ac485f783488e	1_2_1_1_2	存放同业定期款项_金融市场部_1M	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046482	源: line | 	2026-08-16 13:27:47	2026-08-16 13:27:47
