id	uuid	coa_cd	coa_name	spread	curve_name	term	created_at
1	4e238d66-3eeb-46d5-88f5-bb3c2ac06cba	1_1	现金及存放央行	0.015	\N	\N	2026-08-14 12:16:01
2	49296f20-1fa0-4098-9cba-f9553f76b5da	1_2	同业资产	0.015	\N	\N	2026-08-14 12:16:01
3	3b6fd541-2824-4562-9581-0d593b7b0d37	1_3	各项投资	0.015	\N	\N	2026-08-14 12:16:01
4	dccf640d-d206-4fcb-916f-ea66a037f516	1_4	发放贷款	0.015	\N	\N	2026-08-14 12:16:01
5	eaf27e59-9e54-4754-ab34-d7adb28c8771	1_5	其他资产	0.015	\N	\N	2026-08-14 12:16:01
6	66d6b399-727c-48f8-963c-5a4c220e931b	2_1	向中央银行借款	0.015	\N	\N	2026-08-14 12:16:01
7	e5c751a7-6131-4ebe-91a9-c5849c703f02	2_2	同业负债	0.015	\N	\N	2026-08-14 12:16:01
8	7b7c5767-3caf-42cf-b12d-12b923b1db56	2_3	发行同业存单	0.015	\N	\N	2026-08-14 12:16:01
9	4322c14a-c79b-4766-80a5-751c0ff86c60	2_4	发行债券	0.015	\N	\N	2026-08-14 12:16:01
10	1b2cf8e0-e70a-4b2e-b26f-ecb610c94a74	2_5	吸收存款	0.015	\N	\N	2026-08-14 12:16:01
11	551cb79c-fc7a-45db-90ae-cc7ba1c0d7a2	2_6	其他负债	0.015	\N	\N	2026-08-14 12:16:01
12	f83f5b53-5df6-4240-b2bd-0c4c9f140c69	3_1	所有者权益	0.015	\N	\N	2026-08-14 12:16:01
