id	uuid	order_number	curve_name	curve_id	scenario_name	scenario_shift	current_curve_value	m1_value	m2_value	m3_value	m4_value	m5_value	m6_value	m7_value	m8_value	m9_value	m10_value	m11_value	m12_value	m13_value	m14_value	m15_value	m16_value	m17_value	m18_value	m19_value	m20_value	m21_value	m22_value	m23_value	m24_value	remark	created_at	updated_at
1	d4cb2eef-390f-44b6-b374-ef4219b46bb3	1	零收益率曲线	1	基准	0.0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2026-08-14 14:21:22	2026-08-14 14:21:22
2	da1205af-e2f1-4b7a-8ea7-23915bd0800a	2	法定存款准备金收益率	2	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
3	71c61bad-d5a7-412a-bea1-d8effb986b86	3	超额存款准备金收益率	3	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
4	bf16b5c9-9aed-4f01-83f5-657af1e56d21	4	shibor_1D	4	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
5	53f3e4ac-130f-4fcf-8b19-8308bbcfa357	5	shibor_7D	5	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
6	2e50ce2a-ebd8-42f2-a419-027b55321c9c	6	shibor_1Y	6	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
7	3be0782c-eab0-47b2-b81e-ed34589f3d0d	7	shibor_3Y	7	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
8	0a6cb9ef-1ddb-4f7d-b907-8b8cd2b12691	8	shibor_5Y	8	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
9	0e8fea1c-1609-4eff-8c57-a2f72017c638	9	同业存单AAA到期收益率_1M	9	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
10	6854e1bd-8d0f-446c-8de2-557b17bf1b8e	10	同业存单AAA到期收益率_3M	10	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
11	048d5f66-db08-4a03-b213-2400c774ec5f	11	同业存单AAA到期收益率_6M	11	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
12	b360d878-bd8a-4864-9a0b-c4797a708566	12	同业存单AAA到期收益率_1Y	12	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
13	fca1937e-d490-41e9-94f0-93dfbf1dfdd6	13	同业存单AAA到期收益率_1D	13	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
14	025f6d5f-3790-489c-ad42-8f9136653012	14	国债到期收益率_1Y	14	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
15	fe6066fb-a2cb-4cf2-861a-40d88ba592d2	15	国债到期收益率_3Y	15	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
16	dc8f4048-7be9-4720-8fc3-32943d34717c	16	国债到期收益率_5Y	16	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
17	8c0a4984-c7a5-4e43-aab6-9223b34d4106	17	国债到期收益率_10Y	17	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
18	c6ea31b5-8e2f-46af-af3d-7547718ea5c0	18	地方政府债收益率曲线_AAA_1Y	18	上行300BP	0.0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	\N	2026-08-14 14:21:22	2026-08-14 14:48:52
