id	task_id	data_date	coa_cd	coa_name	total_balance	average_balance	avg_rate	created_at
3064	manual-test-001	2026-08-16 00:00:00	ROOT	资产负债账户册	\N	\N	\N	2026-08-16 09:54:17
3065	manual-test-001	2026-08-16 00:00:00	1_1	现金及存放央行	\N	\N	\N	2026-08-16 09:54:17
3066	manual-test-001	2026-08-16 00:00:00	1_1_1	现金_1D	\N	\N	\N	2026-08-16 09:54:17
3067	manual-test-001	2026-08-16 00:00:00	1_1_2	存放央行法定准备金_30Y	\N	\N	\N	2026-08-16 09:54:17
3068	manual-test-001	2026-08-16 00:00:00	1_1_3	存放央行超额准备金_1D	\N	\N	\N	2026-08-16 09:54:17
3069	manual-test-001	2026-08-16 00:00:00	1_1_4	存放央行其他款项_30Y	\N	\N	\N	2026-08-16 09:54:17
3070	manual-test-001	2026-08-16 00:00:00	1_2	同业资产	\N	\N	\N	2026-08-16 09:54:17
3071	manual-test-001	2026-08-16 00:00:00	1_2_1	存放同业款项	\N	\N	\N	2026-08-16 09:54:17
3072	manual-test-001	2026-08-16 00:00:00	1_2_1_1	存放同业款项_金融市场部	\N	\N	\N	2026-08-16 09:54:17
3073	manual-test-001	2026-08-16 00:00:00	1_2_1_1_1	存放同业活期款项_金融市场部_1D	\N	\N	\N	2026-08-16 09:54:17
3074	manual-test-001	2026-08-16 00:00:00	1_2_1_1_2	存放同业定期款项_金融市场部_1M	\N	\N	\N	2026-08-16 09:54:17
3075	manual-test-001	2026-08-16 00:00:00	1_2_1_1_3	存放同业定期款项_金融市场部_3M	\N	\N	\N	2026-08-16 09:54:17
3076	manual-test-001	2026-08-16 00:00:00	1_2_1_1_4	存放同业定期款项_金融市场部_6M	\N	\N	\N	2026-08-16 09:54:17
3077	manual-test-001	2026-08-16 00:00:00	1_2_1_1_5	存放同业定期款项_金融市场部_1Y	\N	\N	\N	2026-08-16 09:54:17
3078	manual-test-001	2026-08-16 00:00:00	1_2_1_2	存放同业款项_公司金融部	\N	\N	\N	2026-08-16 09:54:17
3079	manual-test-001	2026-08-16 00:00:00	1_2_1_2_1	存放同业活期款项_公司金融部_1D	\N	\N	\N	2026-08-16 09:54:17
3080	manual-test-001	2026-08-16 00:00:00	1_2_1_2_2	存放同业定期款项_公司金融部_1M	\N	\N	\N	2026-08-16 09:54:17
3081	manual-test-001	2026-08-16 00:00:00	1_2_1_2_3	存放同业定期款项_公司金融部_3M	\N	\N	\N	2026-08-16 09:54:17
3082	manual-test-001	2026-08-16 00:00:00	1_2_1_2_4	存放同业定期款项_公司金融部_6M	\N	\N	\N	2026-08-16 09:54:17
3083	manual-test-001	2026-08-16 00:00:00	1_2_1_2_5	存放同业定期款项_公司金融部_1Y	\N	\N	\N	2026-08-16 09:54:17
3084	manual-test-001	2026-08-16 00:00:00	1_2_2	拆放同业款项	\N	\N	\N	2026-08-16 09:54:17
3085	manual-test-001	2026-08-16 00:00:00	1_2_2_1	拆放同业款项_1D	\N	\N	\N	2026-08-16 09:54:17
3086	manual-test-001	2026-08-16 00:00:00	1_2_2_2	拆放同业款项_1M	\N	\N	\N	2026-08-16 09:54:17
3087	manual-test-001	2026-08-16 00:00:00	1_2_2_3	拆放同业款项_3M	\N	\N	\N	2026-08-16 09:54:17
3088	manual-test-001	2026-08-16 00:00:00	1_2_2_4	拆放同业款项_6M	\N	\N	\N	2026-08-16 09:54:17
3089	manual-test-001	2026-08-16 00:00:00	1_2_2_5	拆放同业款项_1Y	\N	\N	\N	2026-08-16 09:54:17
3090	manual-test-001	2026-08-16 00:00:00	1_2_3	买入返售	\N	\N	\N	2026-08-16 09:54:17
3091	manual-test-001	2026-08-16 00:00:00	1_2_3_1	买入返售债券	\N	\N	\N	2026-08-16 09:54:17
3092	manual-test-001	2026-08-16 00:00:00	1_2_3_1_1	买入返售债券_买断式_1D	\N	\N	\N	2026-08-16 09:54:17
3093	manual-test-001	2026-08-16 00:00:00	1_2_3_1_2	买入返售债券_买断式_7D	\N	\N	\N	2026-08-16 09:54:17
3094	manual-test-001	2026-08-16 00:00:00	1_2_3_1_3	买入返售债券_质押式_1D	\N	\N	\N	2026-08-16 09:54:17
3095	manual-test-001	2026-08-16 00:00:00	1_2_3_1_4	买入返售债券_质押式_7D	\N	\N	\N	2026-08-16 09:54:17
3096	manual-test-001	2026-08-16 00:00:00	1_2_3_2	买入返售票据	\N	\N	\N	2026-08-16 09:54:17
3097	manual-test-001	2026-08-16 00:00:00	1_2_3_2_1	买入返售票据_买断式_1D	\N	\N	\N	2026-08-16 09:54:17
3098	manual-test-001	2026-08-16 00:00:00	1_2_3_2_2	买入返售票据_买断式_7D	\N	\N	\N	2026-08-16 09:54:17
3099	manual-test-001	2026-08-16 00:00:00	1_2_3_2_3	买入返售票据_质押式_1D	\N	\N	\N	2026-08-16 09:54:17
3100	manual-test-001	2026-08-16 00:00:00	1_2_3_2_4	买入返售票据_质押式_7D	\N	\N	\N	2026-08-16 09:54:17
3101	manual-test-001	2026-08-16 00:00:00	1_3	各项投资	\N	\N	\N	2026-08-16 09:54:17
3102	manual-test-001	2026-08-16 00:00:00	1_3_1	金融市场部投资	\N	\N	\N	2026-08-16 09:54:17
3103	manual-test-001	2026-08-16 00:00:00	1_3_1_1	金融市场部_交易性金融资产	\N	\N	\N	2026-08-16 09:54:17
3104	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1	金融市场部_交易性国债投资	\N	\N	\N	2026-08-16 09:54:17
3105	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_1	金融市场部_交易性国债投资_司库	\N	\N	\N	2026-08-16 09:54:17
3106	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_1_1	金融市场部_交易性国债投资_司库_1Y	\N	\N	\N	2026-08-16 09:54:17
3107	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_1_2	金融市场部_交易性国债投资_司库_3Y	\N	\N	\N	2026-08-16 09:54:17
3108	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_1_3	金融市场部_交易性国债投资_司库_5Y	\N	\N	\N	2026-08-16 09:54:17
3109	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_1_4	金融市场部_交易性国债投资_司库_10Y	\N	\N	\N	2026-08-16 09:54:17
3110	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_2	金融市场部_交易性国债投资_非司库	\N	\N	\N	2026-08-16 09:54:17
3111	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_2_1	金融市场部_交易性国债投资_非司库_交易账户	\N	\N	\N	2026-08-16 09:54:17
3112	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_2_1_1	金融市场部_交易性国债投资_非司库_交易账户_1Y	\N	\N	\N	2026-08-16 09:54:17
3113	manual-test-001	2026-08-16 00:00:00	1_3_1_1_1_2_1_2	金融市场部_交易性国债投资_非司库_交易账户_3Y	\N	\N	\N	2026-08-16 09:54:17
