id	step_no	month_label	month_end_date	month_days	year_days	created_at
49	1	M1	2026-01-31 00:00:00	31	365	2026-08-14 13:48:43
50	2	M2	2026-02-28 00:00:00	28	365	2026-08-14 13:48:43
51	3	M3	2026-03-31 00:00:00	31	365	2026-08-14 13:48:43
52	4	M4	2026-04-30 00:00:00	30	365	2026-08-14 13:48:43
53	5	M5	2026-05-31 00:00:00	31	365	2026-08-14 13:48:43
54	6	M6	2026-06-30 00:00:00	30	365	2026-08-14 13:48:43
55	7	M7	2026-07-31 00:00:00	31	365	2026-08-14 13:48:43
56	8	M8	2026-08-31 00:00:00	31	365	2026-08-14 13:48:43
57	9	M9	2026-09-30 00:00:00	30	365	2026-08-14 13:48:43
58	10	M10	2026-10-31 00:00:00	31	365	2026-08-14 13:48:43
59	11	M11	2026-11-30 00:00:00	30	365	2026-08-14 13:48:43
60	12	M12	2026-12-31 00:00:00	31	365	2026-08-14 13:48:43
61	13	M13	2027-01-31 00:00:00	31	365	2026-08-14 13:48:43
62	14	M14	2027-02-28 00:00:00	28	365	2026-08-14 13:48:43
63	15	M15	2027-03-31 00:00:00	31	365	2026-08-14 13:48:43
64	16	M16	2027-04-30 00:00:00	30	365	2026-08-14 13:48:43
65	17	M17	2027-05-31 00:00:00	31	365	2026-08-14 13:48:43
66	18	M18	2027-06-30 00:00:00	30	365	2026-08-14 13:48:43
67	19	M19	2027-07-31 00:00:00	31	365	2026-08-14 13:48:43
68	20	M20	2027-08-31 00:00:00	31	365	2026-08-14 13:48:43
69	21	M21	2027-09-30 00:00:00	30	365	2026-08-14 13:48:43
70	22	M22	2027-10-31 00:00:00	31	365	2026-08-14 13:48:43
71	23	M23	2027-11-30 00:00:00	30	365	2026-08-14 13:48:43
72	24	M24	2027-12-31 00:00:00	31	365	2026-08-14 13:48:43
